Date,Code région,Season,Période,Day_type,Total énergie soutirée (MWh),Conso_1pt (KWh),Région
2022-04-30,32,Spring,période 22,Week-end,32801.528032,335.06084315420844,Hauts-de-France
2022-05-01,24,Spring,période 22,National Holidays,16898.937885,301.08108134982643,Centre-Val de Loire
2022-05-01,32,Spring,période 22,National Holidays,33032.871576,329.38560139466364,Hauts-de-France
2022-05-02,24,Spring,période 22,Normal Day,16474.403142,308.0702173692398,Centre-Val de Loire
2022-05-02,32,Spring,période 22,Normal Day,32235.957935,331.0402418955125,Hauts-de-France
2022-05-03,24,Spring,période 22,Normal Day,16080.018331,314.97601143273386,Centre-Val de Loire
2022-05-03,32,Spring,période 22,Normal Day,31556.453272,338.28182007611326,Hauts-de-France
2022-05-04,24,Spring,période 22,Normal Day,16211.201541,314.98528771600627,Centre-Val de Loire
2022-05-04,32,Spring,période 22,Normal Day,31880.987506,338.812455194692,Hauts-de-France
2022-05-05,24,Spring,période 22,Normal Day,16120.103865000001,318.7178488471629,Centre-Val de Loire
2022-05-05,32,Spring,période 22,Normal Day,31700.646995,342.5785052288664,Hauts-de-France
2022-05-06,24,Spring,période 22,Normal Day,15985.294767,318.035362239196,Centre-Val de Loire
2022-05-06,32,Spring,période 22,Normal Day,31491.307271,343.0618845581874,Hauts-de-France
2022-05-07,24,Spring,période 22,Week-end,15622.688755,298.74840315948944,Centre-Val de Loire
2022-05-07,32,Spring,période 22,Week-end,30891.97917,321.25313918044935,Hauts-de-France
2022-05-08,24,Spring,période 22,National Holidays,15355.922968,287.86702877641534,Centre-Val de Loire
2022-05-08,32,Spring,période 22,National Holidays,30435.37361,311.4674669737073,Hauts-de-France
2022-05-09,24,Spring,période 22,Normal Day,14875.194994,302.0211674599049,Centre-Val de Loire
2022-05-09,32,Spring,période 22,Normal Day,29561.106947,321.7906801152062,Hauts-de-France
2022-05-10,24,Spring,période 22,Normal Day,14436.772001,306.8185217594543,Centre-Val de Loire
2022-05-10,32,Spring,période 22,Normal Day,28768.237738,323.77335250653095,Hauts-de-France
2022-05-11,24,Spring,période 22,Normal Day,14479.577769,306.68089094174263,Centre-Val de Loire
2022-05-11,32,Spring,période 22,Normal Day,28887.442485,323.93177158106965,Hauts-de-France
2022-05-12,24,Spring,période 22,Normal Day,14353.399895,310.2975934550183,Centre-Val de Loire
2022-05-12,32,Spring,période 22,Normal Day,28655.560646,325.194616274561,Hauts-de-France
2022-05-13,24,Spring,période 22,Normal Day,14400.905746,312.1026569475075,Centre-Val de Loire
2022-05-13,32,Spring,période 22,Normal Day,28759.506752,327.4161227228304,Hauts-de-France
2022-05-14,24,Spring,période 22,Week-end,14494.655471,300.28645212403404,Centre-Val de Loire
2022-05-14,32,Spring,période 22,Week-end,28956.150139,317.69841445856724,Hauts-de-France
2022-05-15,24,Spring,période 22,Week-end,14259.5118,287.4239464598408,Centre-Val de Loire
2022-05-15,32,Spring,période 22,Week-end,28578.13106,306.0735929584141,Hauts-de-France
2022-05-16,24,Spring,période 22,Normal Day,14080.316691,297.49622576772026,Centre-Val de Loire
2022-05-16,32,Spring,période 22,Normal Day,28255.021473,313.11739246633124,Hauts-de-France
2022-05-17,24,Spring,période 22,Normal Day,14041.555213,311.50386909368154,Centre-Val de Loire
2022-05-17,32,Spring,période 22,Normal Day,28180.648721,327.6673753751834,Hauts-de-France
2022-05-18,24,Spring,période 22,Normal Day,14281.45885,311.9545425408763,Centre-Val de Loire
2022-05-18,32,Spring,période 22,Normal Day,28733.832705,329.74640016361116,Hauts-de-France
2022-05-19,24,Spring,période 22,Normal Day,14120.268793,313.2790484893984,Centre-Val de Loire
2022-05-19,32,Spring,période 22,Normal Day,28407.983479,328.28862366323204,Hauts-de-France
