Date,Code région,Season,Période,Day_type,Total énergie soutirée (MWh),DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,TEMPERATURE_NIGHT_C,Rain,Season-modified,Day_type_mod
2022-04-11,24,Spring,période 1,School Holidays,22476.943718,2022-04-11,19.5,3.6666666666666665,18.666666666666668,3.6666666666666665,15.666666666666666,18.33333333333333,0.0,77.66666666666667,10.0,1015.6666666666666,11.479166666666666,19.5,12.0,0.0,113.0,113.0,113.0,0.0,4.0,11.6,4.333333333333333,No rain,1,2
2022-04-12,24,Spring,période 1,School Holidays,20162.565951,2022-04-12,19.666666666666668,8.5,16.0,8.5,18.33333333333333,17.666666666666668,0.0166666666666666,77.83333333333333,10.0,1012.0,37.66666666666666,19.666666666666668,12.0,6.666666666666667,115.0,113.5,116.0,0.0,4.5,11.0,9.666666666666666,Rain,1,2
2022-04-13,24,Spring,période 1,School Holidays,19578.681689,2022-04-13,15.666666666666666,10.666666666666666,10.0,10.833333333333334,14.0,15.333333333333334,1.15,93.83333333333331,7.854166666666667,1020.1666666666666,82.125,15.666666666666666,11.833333333333334,10.833333333333334,198.0,193.0,120.5,0.0,3.1666666666666665,7.716666666666666,11.166666666666666,Rain,1,2
2022-04-14,24,Spring,période 1,School Holidays,18293.284455,2022-04-14,21.0,9.0,16.0,9.0,19.0,20.5,0.0,93.66666666666669,9.166666666666666,1025.0,18.08333333333333,22.33333333333333,13.833333333333334,7.666666666666667,123.0,113.0,113.0,0.0,4.666666666666667,11.2,9.833333333333334,No rain,1,2
2022-04-15,24,Spring,période 1,School Holidays,17268.472009,2022-04-15,21.0,10.0,13.666666666666666,10.0,20.0,19.33333333333333,0.0,91.0,10.0,1025.1666666666667,19.27083333333333,22.166666666666668,12.666666666666666,9.0,113.0,113.5,115.0,0.0,5.0,11.2,10.666666666666666,No rain,1,2
2022-04-16,24,Spring,période 1,Week-end,16784.501825,2022-04-16,21.166666666666668,9.166666666666666,20.83333333333333,9.166666666666666,19.0,19.166666666666668,0.0,92.0,10.0,1025.8333333333333,3.4791666666666665,22.33333333333333,11.333333333333334,7.5,113.0,113.0,113.0,0.0,5.0,11.6,10.5,No rain,1,1
2022-04-17,24,Spring,période 1,Week-end,16566.951817,2022-04-17,19.0,4.166666666666667,15.833333333333334,4.166666666666667,16.0,17.666666666666668,0.0,88.66666666666667,9.666666666666666,1025.6666666666667,21.95833333333333,19.0,9.5,1.1666666666666667,118.0,114.5,113.0,0.0,4.0,11.2,5.833333333333333,No rain,1,1
2022-04-18,24,Spring,période 1,National Holidays,16793.780319,2022-04-18,16.5,6.333333333333333,16.333333333333332,6.333333333333333,15.833333333333334,13.333333333333334,0.1166666666666666,80.16666666666667,10.0,1017.8333333333334,70.5625,16.5,10.166666666666666,6.0,115.0,118.0,158.0,0.0,3.0,8.85,7.166666666666667,Rain,1,3
2022-04-19,24,Spring,période 1,School Holidays,17579.061718,2022-04-19,17.833333333333332,6.833333333333333,12.333333333333334,6.833333333333333,15.5,16.833333333333332,0.0,90.16666666666669,9.333333333333334,1016.1666666666666,29.89583333333333,17.833333333333332,9.333333333333334,5.5,123.5,114.5,114.5,0.0,3.8333333333333335,11.0,7.166666666666667,No rain,1,2
2022-04-20,24,Spring,période 1,School Holidays,18187.423061,2022-04-20,16.5,7.333333333333333,19.33333333333333,7.333333333333333,15.0,13.833333333333334,1.3666666666666665,94.83333333333331,8.75,1012.0,85.6875,16.5,9.5,5.333333333333333,191.5,169.0,246.5,0.0,3.333333333333333,7.333333333333333,7.833333333333333,Rain,1,2
2022-04-21,24,Spring,période 1,School Holidays,17955.220422,2022-04-21,16.666666666666668,5.333333333333333,12.666666666666666,5.333333333333333,14.833333333333334,15.833333333333334,0.0,83.0,10.0,1006.8333333333334,34.6875,16.666666666666668,8.666666666666666,3.333333333333333,113.5,115.5,116.5,0.0,4.0,10.633333333333333,6.333333333333333,No rain,1,2
2022-04-22,24,Spring,période 1,School Holidays,17418.745873,2022-04-22,18.166666666666668,6.166666666666667,15.333333333333334,6.166666666666667,16.5,16.5,0.0666666666666666,93.66666666666669,9.8125,1002.8333333333334,34.916666666666664,18.166666666666668,10.333333333333334,4.0,118.5,115.0,155.0,0.0,4.0,10.65,7.166666666666667,Rain,1,2
2022-04-23,24,Spring,période 1,Week-end,17978.954855,2022-04-23,15.333333333333334,10.166666666666666,18.33333333333333,10.166666666666666,15.333333333333334,12.666666666666666,3.15,94.66666666666669,9.520833333333334,997.8333333333334,89.66666666666667,15.333333333333334,11.333333333333334,8.166666666666666,259.0,176.0,314.0,0.0,3.1666666666666665,7.983333333333333,11.0,Rain,1,1
2022-04-24,24,Spring,période 1,Week-end,18389.785953,2022-04-24,12.666666666666666,8.666666666666666,12.0,8.833333333333334,11.5,12.333333333333334,1.3833333333333335,95.66666666666669,6.979166666666667,1006.8333333333334,85.70833333333333,12.666666666666666,9.833333333333334,7.333333333333333,169.0,232.0,270.0,0.0,2.833333333333333,7.399999999999999,9.333333333333334,Rain,1,1
2022-04-25,24,Spring,période 22,Normal Day,18128.989693,2022-04-25,14.833333333333334,8.5,12.666666666666666,9.333333333333334,12.666666666666666,13.666666666666666,1.0666666666666669,89.5,8.854166666666666,1014.5,72.64583333333333,14.833333333333334,8.833333333333334,8.333333333333334,154.0,172.5,254.5,0.0,3.333333333333333,9.183333333333334,9.166666666666666,Rain,1,0
2022-04-26,24,Spring,période 22,Normal Day,17870.073887,2022-04-26,17.166666666666668,4.666666666666667,14.833333333333334,4.666666666666667,14.833333333333334,16.666666666666668,0.0,94.16666666666669,9.5,1019.8333333333334,21.3125,17.166666666666668,8.666666666666666,1.8333333333333333,123.0,115.5,113.5,0.0,3.8333333333333335,12.866666666666667,6.0,No rain,1,0
2022-04-27,24,Spring,période 22,Normal Day,17535.103466,2022-04-27,18.83333333333333,4.333333333333333,24.33333333333333,4.333333333333333,16.666666666666668,17.166666666666668,0.0,93.0,10.0,1020.8333333333334,24.604166666666668,18.83333333333333,10.166666666666666,1.0,114.5,113.0,117.5,0.0,4.0,12.133333333333333,5.0,No rain,1,0
2022-04-28,24,Spring,période 22,Normal Day,16933.157949,2022-04-28,21.166666666666668,7.0,22.83333333333333,7.0,18.166666666666668,20.166666666666668,0.0,88.5,10.0,1025.1666666666667,16.916666666666668,22.5,13.166666666666666,4.333333333333333,116.0,113.0,113.5,0.0,4.833333333333333,13.533333333333331,8.0,No rain,1,0
2022-04-29,24,Spring,période 22,Normal Day,16607.461227,2022-04-29,19.0,7.5,14.5,7.5,17.833333333333332,17.166666666666668,0.0,92.0,10.0,1026.8333333333333,38.16666666666666,19.0,10.666666666666666,5.666666666666667,117.5,113.5,116.0,0.0,4.666666666666667,12.766666666666666,8.333333333333334,No rain,1,0
2022-04-30,24,Spring,période 22,Week-end,16792.916955,2022-04-30,18.5,6.5,18.83333333333333,6.5,17.833333333333332,17.666666666666668,0.0,90.66666666666669,9.5,1025.3333333333333,18.25,18.5,9.5,3.8333333333333335,124.5,113.0,113.5,0.0,4.0,14.5,8.333333333333334,No rain,1,1
2022-05-01,24,Spring,période 22,National Holidays,16898.937885,2022-05-01,16.833333333333332,6.333333333333333,12.0,6.333333333333333,15.5,15.5,0.0,88.5,10.0,1024.1666666666667,68.875,16.833333333333332,8.5,4.5,113.0,119.5,122.0,0.0,3.8333333333333335,10.083333333333334,6.5,No rain,1,3
2022-05-02,24,Spring,période 22,Normal Day,16474.403142,2022-05-02,16.5,7.166666666666667,16.666666666666668,7.166666666666667,16.166666666666668,15.833333333333334,0.0,82.16666666666667,10.0,1019.3333333333334,49.083333333333336,16.5,9.333333333333334,5.166666666666667,116.5,118.0,116.0,0.0,4.0,12.916666666666666,7.666666666666667,No rain,1,0
2022-05-03,24,Spring,période 22,Normal Day,16080.018331,2022-05-03,18.0,8.0,17.333333333333332,8.0,17.666666666666668,16.333333333333332,0.15,88.0,9.791666666666666,1017.8333333333334,53.04166666666666,18.0,10.666666666666666,6.333333333333333,116.5,116.5,127.0,0.0,4.0,12.733333333333334,8.666666666666666,Rain,1,0
2022-05-04,24,Spring,période 22,Normal Day,16211.201541,2022-05-04,18.0,10.666666666666666,11.666666666666666,10.666666666666666,16.166666666666668,17.166666666666668,0.0666666666666666,79.66666666666667,9.979166666666666,1022.0,53.35416666666666,18.0,10.0,9.5,118.0,116.0,136.0,0.0,4.333333333333333,13.083333333333334,11.166666666666666,Rain,1,0
